disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd
2021,11/2/2021,10/26/2021,joint,SCU,Sculptor Capital Management Inc Class A,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE
2021,11/2/2021,10/8/2021,joint,VIASP,Via Renewables Inc - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,FALSE
2020,4/28/2020,2/24/2020,joint,BHC,Bausch Health Companies Inc.,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/6/2020,joint,BAH,Booz Allen Hamilton Holding Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,3/23/2020,joint,BYD,Boyd Gaming Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/4/2020,joint,CTLT,"Catalent, Inc.",purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/18/2020,joint,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/24/2020,joint,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/31/2020,joint,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/26/2020,joint,DPZ,Domino's Pizza Inc,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,2/5/2020,joint,DNKN,"Dunkin' Brands Group, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/24/2020,joint,ENV,"Envestnet, Inc",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/21/2020,joint,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/6/2020,joint,AQUA,Evoqua Water Technologies Corp.,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/17/2020,joint,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/24/2020,joint,MAS,Masco Corporation,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/5/2020,joint,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,2/24/2020,joint,OKE,"ONEOK, Inc.",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,3/9/2020,joint,OKE,"ONEOK, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/24/2020,joint,PANW,"Palo alto Networks, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,3/6/2020,joint,RP,"RealPage, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,3/16/2020,joint,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/5/2020,joint,QSR,Restaurant Brands International Inc. Common Shares,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/24/2020,joint,SCI,Service Corporation International,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/25/2020,joint,COO,"The Cooper Companies, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE
2020,4/28/2020,2/24/2020,joint,UNVR,Univar Solutions Inc.,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/17/2020,joint,USFD,US Foods Holding Corp.,sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/25/2020,joint,MTN,"Vail Resorts, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/26/2020,joint,VLO,Valero Energy Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/18/2020,joint,WAB,Westinghouse air Brake Technologies Corporation,sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/18/2020,joint,WH,"Wyndham Hotels & Resorts, Inc.",sale_full,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/17/2020,joint,WH,"Wyndham Hotels & Resorts, Inc.",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,2/5/2020,joint,XPO,"XPO Logistics, Inc.",sale_partial,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE
2020,4/28/2020,3/16/2020,self,BRK.B,Berkshire Hathaway Inc. New,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016500.pdf,FALSE
2020,4/28/2020,3/13/2020,self,BSX,Boston Scientific Corporation,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016501.pdf,TRUE
2020,4/28/2020,3/13/2020,self,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016501.pdf,FALSE
2020,9/22/2020,8/17/2020,,--,Metallic Minerals Corp.,sale_partial,"$100,001 - $250,000",Mr. TJ John (Tj) Cox,CA21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017403.pdf,TRUE
2021,3/23/2021,1/27/2021,self,--,Zimmer Biomet Holdings,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018447.pdf,FALSE
2021,3/23/2021,2/8/2021,,--,Zimmer Biomet Holdings,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018447.pdf,FALSE
2021,3/23/2021,2/8/2021,self,--,Zimmer Biomet Holdings,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018448.pdf,FALSE
2021,3/23/2021,2/4/2021,self,DD,"DuPont De Nemours, Inc",sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018449.pdf,FALSE
2021,3/23/2021,2/19/2021,self,--,Celegene Corp,sale_full,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018450.pdf,FALSE
2021,3/23/2021,2/16/2021,,--,Outfront Media,sale_full,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018450.pdf,FALSE
2021,3/23/2021,3/15/2021,joint,COLD,Americold Realty Trust Common Shares,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018451.pdf,FALSE
2021,3/23/2021,3/15/2021,self,COLD,Americold Realty Trust Common Shares,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018452.pdf,FALSE
2021,3/23/2021,3/11/2021,self,ADBE,Adobe Inc,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,FALSE
2021,3/23/2021,3/12/2021,self,COLD,Americold Realty Trust Common Shares,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,TRUE
2021,3/23/2021,3/15/2021,self,COLD,Americold Realty Trust Common Shares,sale_full,"$15,001 - $50,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,TRUE
2021,3/23/2021,3/11/2021,self,NVDA,NVIDIA Corporation,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,FALSE
2021,1/26/2021,1/22/2021,,DUK,Duke Energy Corpoation,purchase,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE
2021,1/26/2021,1/22/2021,joint,LEE,"Lee Enterprises, Inc.",sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE
2021,1/26/2021,1/22/2021,self,LEE,"Lee Enterprises, Inc.",sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE
2021,1/26/2021,11/24/2020,self,LEE,"Lee Enterprises, Inc.",purchase,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE
2021,1/26/2021,1/21/2021,,--,Spectra Energy Capital LLC,sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,TRUE
2021,1/26/2021,12/1/2020,joint,VTRS,Vitatris Inc.,sale_full,"$1,001 - $15,000",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE
2021,1/26/2021,1/12/2021,self,GM,General Motors Company,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE
2021,1/26/2021,1/12/2021,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE
2021,1/26/2021,1/14/2021,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE
2021,1/26/2021,1/15/2021,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE
2021,1/26/2021,1/11/2021,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE
2021,1/26/2021,1/12/2021,self,GM,General Motors Company,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,FALSE
2021,1/26/2021,1/12/2021,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,FALSE
2021,1/26/2021,1/14/2021,self,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,FALSE
2021,1/26/2021,1/11/2021,joint,GIS,General Mills,sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,FALSE
2021,1/26/2021,1/12/2021,joint,GM,General Motors Company,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,FALSE
2021,1/26/2021,1/11/2021,joint,TMUS,T-Mobile USA,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,FALSE
2021,1/26/2021,7/2/2020,,COST,Costco Wholesale Corp,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,CCI,Crown Castle International Corp,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,CVS,CVS Health Corporation,sale_full,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,DUK,Duke Energy Corp,sale_full,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,HD,Home Depot,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,KMB,Kimberly-Clark Corp,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,RGLD,Royal Gold Inc,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,1/26/2021,7/2/2020,,V,Visa Inc,purchase,"$1,001 - $15,000",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE
2021,2/25/2021,1/14/2021,,--,Oregon State Health and Science University,purchase,"$15,001 - $50,000",Hon. Vern Buchanan,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018280.pdf,FALSE
2021,2/25/2021,1/21/2021,,CI,Cigna Corporation,sale_partial,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE
2021,2/25/2021,2/10/2021,,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE
2021,2/25/2021,1/28/2021,,CL,Colgate-Palmolive Company,purchase,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE
2021,2/25/2021,1/28/2021,,PPG,"PPG Industries, Inc.",sale_partial,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE
2021,2/25/2021,2/10/2021,,TRV,"The Travelers Companies, Inc.",sale_partial,"$1,001 - $15,000",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE
2021,2/25/2021,1/15/2021,self,FB,Facebook Inc,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/27/2021,self,--,Conn St Hsg Fin Auth Hsh Mtg F,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/8/2021,self,--,Indiana Bd Bk Rev,purchase,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/14/2021,self,FMS,Fresenius Med Care Ag,purchase,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/14/2021,self,ACGL,Arch Cap Group Ltd,purchase,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/13/2021,self,ACGL,Arch Cap Group Ltd,purchase,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/5/2021,self,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/5/2021,self,--,Triborough Brdg & Tunl Auth N,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/4/2021,self,--,Purdue Uiv Ind Univ Revs,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/4/2021,self,--,Oregon St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/14/2021,self,BKNG,Booking Hldgs Inc,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/15/2021,self,--,Massachusetts St Hsg & Cmnty Svcs Dep,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/12/2021,self,CB,Chubb Ltd,sale_full,"$1,001 - $15,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/27/2021,self,HON,Honeywell Intl Inc,sale_full,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/25/2021,self,PCAR,Paccar Inc,sale_full,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/6/2021,self,PAG,"Pensake Automotive Group, Inc.",sale_full,"$15,001 - $50,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/4/2021,self,--,Virginia College Bldg Auth Va,sale_full,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/12/2021,self,ACN,Accenture Plc,sale_full,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
2021,2/25/2021,1/6/2021,self,--,Indiana Bd Bk Rev,sale_full,"$100,001 - $250,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE
