last_name,first_name,middle_name,suffix,full_name,birthday,gender,type,state,party,district
McCarthy,Kevin,,,Kevin McCarthy,1965-01-26,M,rep,CA,Republican,23.0
McCaul,Michael,T.,,Michael T. McCaul,1962-01-14,M,rep,TX,Republican,10.0
McClintock,Tom,,,Tom McClintock,1956-07-10,M,rep,CA,Republican,4.0
McCollum,Betty,Louise,,Betty McCollum,1954-07-12,F,rep,MN,Democrat,4.0
McGovern,James,P.,,James P. McGovern,1959-11-20,M,rep,MA,Democrat,2.0
McHenry,Patrick,T.,,Patrick T. McHenry,1975-10-22,M,rep,NC,Republican,10.0
McKinley,David,B.,,David B. McKinley,1947-03-28,M,rep,WV,Republican,1.0
McMorris Rodgers,Cathy,Anne,,Cathy McMorris Rodgers,1969-05-22,F,rep,WA,Republican,5.0
McNerney,Jerry,,,Jerry McNerney,1951-06-18,M,rep,CA,Democrat,9.0
Meeks,Gregory,W.,,Gregory W. Meeks,1953-09-25,M,rep,NY,Democrat,5.0
Moore,Gwen,,,Gwen Moore,1951-04-18,F,rep,WI,Democrat,4.0
Moran,Jerry,,,Jerry Moran,1954-05-29,M,sen,KS,Republican,
Murkowski,Lisa,A.,,Lisa Murkowski,1957-05-22,F,sen,AK,Republican,
Murphy,Christopher,S.,,Christopher Murphy,1973-08-03,M,sen,CT,Democrat,
Murray,Patty,,,Patty Murray,1950-10-11,F,sen,WA,Democrat,
Nadler,Jerrold,L.,,Jerrold Nadler,1947-06-13,M,rep,NY,Democrat,10.0
Napolitano,Grace,F.,,Grace F. Napolitano,1936-12-04,F,rep,CA,Democrat,32.0
Neal,Richard,E.,,Richard E. Neal,1949-02-14,M,rep,MA,Democrat,1.0
Norton,Eleanor,Holmes,,Eleanor Holmes Norton,1937-06-13,F,rep,DC,Democrat,0.0
Palazzo,Steven,M.,,Steven M. Palazzo,1970-02-21,M,rep,MS,Republican,4.0
Pallone,Frank,J.,Jr.,"Frank Pallone, Jr.",1951-10-30,M,rep,NJ,Democrat,6.0
Pascrell,Bill,J.,Jr.,"Bill Pascrell, Jr.",1937-01-25,M,rep,NJ,Democrat,9.0
Paul,Rand,,,Rand Paul,1963-01-07,M,sen,KY,Republican,
Pelosi,Nancy,,,Nancy Pelosi,1940-03-26,F,rep,CA,Democrat,12.0
Perlmutter,Ed,,,Ed Perlmutter,1953-05-01,M,rep,CO,Democrat,7.0
Peters,Gary,C.,,Gary C. Peters,1958-12-01,M,sen,MI,Democrat,
Pingree,Chellie,,,Chellie Pingree,1955-04-02,F,rep,ME,Democrat,1.0
Portman,Robert,J.,,Rob Portman,1955-12-19,M,sen,OH,Republican,
Posey,Bill,,,Bill Posey,1947-12-18,M,rep,FL,Republican,8.0
Price,David,E.,,David E. Price,1940-08-17,M,rep,NC,Democrat,4.0
Quigley,Mike,,,Mike Quigley,1958-10-17,M,rep,IL,Democrat,5.0
Rogers,Harold,,,Harold Rogers,1937-12-31,M,rep,KY,Republican,5.0
Rogers,Mike,,,Mike Rogers,1958-07-16,M,rep,AL,Republican,3.0
Roybal-Allard,Lucille,,,Lucille Roybal-Allard,1941-06-12,F,rep,CA,Democrat,40.0
Rubio,Marco,,,Marco Rubio,1971-05-28,M,sen,FL,Republican,
Ruppersberger,C.,A. Dutch,,C. A. Dutch Ruppersberger,1946-01-31,M,rep,MD,Democrat,2.0
Rush,Bobby,L.,,Bobby L. Rush,1946-11-23,M,rep,IL,Democrat,1.0
Ryan,Tim,J.,,Tim Ryan,1973-07-16,M,rep,OH,Democrat,13.0
Sablan,Gregorio,Kilili Camacho,,Gregorio Kilili Camacho Sablan,1955-01-19,M,rep,MP,Democrat,0.0
Sarbanes,John,P.,,John P. Sarbanes,1962-05-22,M,rep,MD,Democrat,3.0
Scalise,Steve,Joseph,,Steve Scalise,1965-10-06,M,rep,LA,Republican,1.0
Schakowsky,Janice,D.,,Janice D. Schakowsky,1944-05-26,F,rep,IL,Democrat,9.0
Schiff,Adam,B.,,Adam B. Schiff,1960-06-22,M,rep,CA,Democrat,28.0
Schrader,Kurt,,,Kurt Schrader,1951-10-19,M,rep,OR,Democrat,5.0
Schumer,Charles,E.,,Charles E. Schumer,1950-11-23,M,sen,NY,Democrat,
Schweikert,David,,,David Schweikert,1962-03-03,M,rep,AZ,Republican,6.0
Scott,Austin,,,Austin Scott,1969-12-10,M,rep,GA,Republican,8.0
Scott,David,,,David Scott,1945-06-27,M,rep,GA,Democrat,13.0
Scott,Robert,C.,,"Robert C. ""Bobby"" Scott",1947-04-30,M,rep,VA,Democrat,3.0
Scott,Tim,,,Tim Scott,1965-09-19,M,sen,SC,Republican,
Sewell,Terri,A.,,Terri Sewell,1965-01-01,F,rep,AL,Democrat,7.0
Shelby,Richard,C.,,Richard C. Shelby,1934-05-06,M,sen,AL,Republican,
Sherman,Brad,J.,,Brad Sherman,1954-10-24,M,rep,CA,Democrat,30.0
Simpson,Michael,K.,,Michael K. Simpson,1950-09-08,M,rep,ID,Republican,2.0
Sires,Albio,,,Albio Sires,1951-01-26,M,rep,NJ,Democrat,8.0
Smith,Adam,,,Adam Smith,1965-06-15,M,rep,WA,Democrat,9.0
Smith,Adrian,,,Adrian Smith,1970-12-19,M,rep,NE,Republican,3.0
Smith,Christopher,H.,,Christopher H. Smith,1953-03-04,M,rep,NJ,Republican,4.0
Speier,Jackie,,,Jackie Speier,1950-05-14,F,rep,CA,Democrat,14.0
Sanchez,Linda,T.,,Linda T. Sánchez,1969-01-28,F,rep,CA,Democrat,38.0
Thompson,Bennie,G.,,Bennie G. Thompson,1948-01-28,M,rep,MS,Democrat,2.0
Thompson,Mike,Michael,,Mike Thompson,1951-01-24,M,rep,CA,Democrat,5.0
Thompson,Glenn,,,Glenn Thompson,1959-07-27,M,rep,PA,Republican,15.0
Thune,John,,,John Thune,1961-01-07,M,sen,SD,Republican,
Tonko,Paul,,,Paul Tonko,1949-06-18,M,rep,NY,Democrat,20.0
Toomey,Patrick,J.,,Patrick J. Toomey,1961-11-17,M,sen,PA,Republican,
Turner,Michael,R.,,Michael R. Turner,1960-01-11,M,rep,OH,Republican,10.0
Upton,Fred,Stephen,,Fred Upton,1953-04-23,M,rep,MI,Republican,6.0
Van Hollen,Chris,,,Chris Van Hollen,1959-01-10,M,sen,MD,Democrat,
Velázquez,Nydia,M.,,Nydia M. Velázquez,1953-03-28,F,rep,NY,Democrat,7.0
Walberg,Tim,,,Tim Walberg,1951-04-12,M,rep,MI,Republican,7.0
Wasserman Schultz,Debbie,,,Debbie Wasserman Schultz,1966-09-27,F,rep,FL,Democrat,23.0
Waters,Maxine,,,Maxine Waters,1938-08-15,F,rep,CA,Democrat,43.0
Webster,Daniel,,,Daniel Webster,1949-04-27,M,rep,FL,Republican,11.0
Welch,Peter,,,Peter Welch,1947-05-02,M,rep,VT,Democrat,0.0
Wilson,Joe,G.,,Joe Wilson,1947-07-31,M,rep,SC,Republican,2.0
Wilson,Frederica,S.,,Frederica S. Wilson,1942-11-05,F,rep,FL,Democrat,24.0
Wittman,Robert,J.,,Robert J. Wittman,1959-02-03,M,rep,VA,Republican,1.0
Womack,Steve,,,Steve Womack,1957-02-18,M,rep,AR,Republican,3.0
Wyden,Ron,,,Ron Wyden,1949-05-03,M,sen,OR,Democrat,
Yarmuth,John,A.,,John A. Yarmuth,1947-11-04,M,rep,KY,Democrat,3.0
Young,Todd,C.,,Todd Young,1972-08-24,M,sen,IN,Republican,
Amodei,Mark,E.,,Mark E. Amodei,1958-06-12,M,rep,NV,Republican,2.0
Bonamici,Suzanne,,,Suzanne Bonamici,1954-10-14,F,rep,OR,Democrat,1.0
DelBene,Suzan,K.,,Suzan K. DelBene,1962-02-17,F,rep,WA,Democrat,1.0
Massie,Thomas,,,Thomas Massie,1971-01-13,M,rep,KY,Republican,4.0
Payne,Donald,M.,Jr.,"Donald M. Payne, Jr.",1958-12-17,M,rep,NJ,Democrat,10.0
Schatz,Brian,Emanuel,,Brian Schatz,1972-10-20,M,sen,HI,Democrat,
Foster,Bill,,,Bill Foster,1955-10-07,M,rep,IL,Democrat,11.0
Titus,Dina,,,Dina Titus,1950-05-23,F,rep,NV,Democrat,1.0
Cotton,Tom,,,Tom Cotton,1977-05-13,M,sen,AR,Republican,
Sinema,Kyrsten,,,Kyrsten Sinema,1976-07-12,F,sen,AZ,Democrat,
LaMalfa,Doug,,,Doug LaMalfa,1960-07-02,M,rep,CA,Republican,1.0
Huffman,Jared,,,Jared Huffman,1964-02-18,M,rep,CA,Democrat,2.0
Bera,Ami,,,Ami Bera,1965-03-02,M,rep,CA,Democrat,7.0
Swalwell,Eric,,,Eric Swalwell,1980-11-16,M,rep,CA,Democrat,15.0
Brownley,Julia,,,Julia Brownley,1952-08-28,F,rep,CA,Democrat,26.0
Cárdenas,Tony,,,Tony Cárdenas,1963-03-31,M,rep,CA,Democrat,29.0
Ruiz,Raul,,,Raul Ruiz,1972-08-25,M,rep,CA,Democrat,36.0
Takano,Mark,,,Mark Takano,1960-12-10,M,rep,CA,Democrat,41.0
Lowenthal,Alan,S.,,Alan S. Lowenthal,1941-03-08,M,rep,CA,Democrat,47.0
Vargas,Juan,,,Juan Vargas,1961-03-07,M,rep,CA,Democrat,51.0
Peters,Scott,H.,,Scott H. Peters,1958-06-17,M,rep,CA,Democrat,52.0
Frankel,Lois,,,Lois Frankel,1948-05-16,F,rep,FL,Democrat,21.0
Duckworth,Tammy,,,Tammy Duckworth,1968-03-12,F,sen,IL,Democrat,
Davis,Rodney,,,Rodney Davis,1970-01-05,M,rep,IL,Republican,13.0
Bustos,Cheri,,,Cheri Bustos,1961-10-17,F,rep,IL,Democrat,17.0
Walorski,Jackie,,,Jackie Walorski,1963-08-17,F,rep,IN,Republican,2.0
Barr,Garland,,,Andy Barr,1973-07-24,M,rep,KY,Republican,6.0
Warren,Elizabeth,,,Elizabeth Warren,1949-06-22,F,sen,MA,Democrat,
King,Angus,S.,Jr.,"Angus S. King, Jr.",1944-03-31,M,sen,ME,Independent,
Kildee,Daniel,T.,,Daniel T. Kildee,1958-08-11,M,rep,MI,Democrat,5.0
Wagner,Ann,,,Ann Wagner,1962-09-13,F,rep,MO,Republican,2.0
Daines,Steve,,,Steve Daines,1962-08-20,M,sen,MT,Republican,
Hudson,Richard,,,Richard Hudson,1971-11-04,M,rep,NC,Republican,8.0
Cramer,Kevin,,,Kevin Cramer,1961-01-21,M,sen,ND,Republican,
Fischer,Deb,,,Deb Fischer,1951-03-01,F,sen,NE,Republican,
Kuster,Ann,M.,,Ann Kuster,1956-09-05,F,rep,NH,Democrat,2.0
Meng,Grace,,,Grace Meng,1975-10-01,F,rep,NY,Democrat,6.0
Jeffries,Hakeem,S.,,Hakeem S. Jeffries,1970-08-04,M,rep,NY,Democrat,8.0
Maloney,Sean,Patrick,,Sean Patrick Maloney,1966-07-30,M,rep,NY,Democrat,18.0
Wenstrup,Brad,R.,,Brad R. Wenstrup,1958-06-17,M,rep,OH,Republican,2.0
Beatty,Joyce,,,Joyce Beatty,1950-03-12,F,rep,OH,Democrat,3.0
Joyce,David,P.,,David P. Joyce,1957-03-17,M,rep,OH,Republican,14.0
Mullin,Markwayne,,,Markwayne Mullin,1977-07-26,M,rep,OK,Republican,2.0
Perry,Scott,,,Scott Perry,1962-05-27,M,rep,PA,Republican,10.0
Cartwright,Matthew,A.,,Matt Cartwright,1961-05-01,M,rep,PA,Democrat,8.0
Rice,Tom,,,Tom Rice,1957-08-04,M,rep,SC,Republican,7.0
Cruz,Ted,,,Ted Cruz,1970-12-22,M,sen,TX,Republican,
Weber,Randy,K.,Sr.,"Randy K. Weber, Sr.",1953-07-02,M,rep,TX,Republican,14.0
Castro,Joaquin,,,Joaquin Castro,1974-09-16,M,rep,TX,Democrat,20.0
Williams,Roger,,,Roger Williams,1949-09-13,M,rep,TX,Republican,25.0
Veasey,Marc,A.,,Marc A. Veasey,1971-01-03,M,rep,TX,Democrat,33.0
Stewart,Chris,,,Chris Stewart,1960-07-15,M,rep,UT,Republican,2.0
Kaine,Timothy,,,Tim Kaine,1958-02-26,M,sen,VA,Democrat,
Kilmer,Derek,,,Derek Kilmer,1974-01-01,M,rep,WA,Democrat,6.0
Pocan,Mark,,,Mark Pocan,1964-08-14,M,rep,WI,Democrat,2.0
Kelly,Robin,L.,,Robin L. Kelly,1956-04-30,F,rep,IL,Democrat,2.0
Smith,Jason,T.,,Jason Smith,1980-06-16,M,rep,MO,Republican,8.0
Booker,Cory,Anthony,,Cory A. Booker,1969-04-27,M,sen,NJ,Democrat,
Clark,Katherine,M.,,Katherine M. Clark,1963-07-17,F,rep,MA,Democrat,5.0
Norcross,Donald,W.,,Donald Norcross,1958-12-13,M,rep,NJ,Democrat,1.0
Adams,Alma,S.,,Alma S. Adams,1946-05-27,F,rep,NC,Democrat,12.0
Palmer,Gary,J.,,Gary J. Palmer,1954-05-14,M,rep,AL,Republican,6.0
Hill,J.,French,,J. Hill,1956-12-05,M,rep,AR,Republican,2.0
Westerman,Bruce,,,Bruce Westerman,1967-11-18,M,rep,AR,Republican,4.0
Gallego,Ruben,,,Ruben Gallego,1979-11-20,M,rep,AZ,Democrat,7.0
DeSaulnier,Mark,,,Mark DeSaulnier,1952-03-31,M,rep,CA,Democrat,11.0
Aguilar,Pete,,,Pete Aguilar,1979-06-19,M,rep,CA,Democrat,31.0
Lieu,Ted,,,Ted Lieu,1969-03-29,M,rep,CA,Democrat,33.0
Torres,Norma,J.,,Norma J. Torres,1965-04-04,F,rep,CA,Democrat,35.0
Buck,Ken,,,Ken Buck,1959-02-16,M,rep,CO,Republican,4.0
Carter,Earl,L.,,"Earl L. ""Buddy"" Carter",1957-09-06,M,rep,GA,Republican,1.0
Hice,Jody,B.,,Jody B. Hice,1960-04-22,M,rep,GA,Republican,10.0
Loudermilk,Barry,,,Barry Loudermilk,1963-12-22,M,rep,GA,Republican,11.0
Allen,Rick,W.,,Rick W. Allen,1951-11-07,M,rep,GA,Republican,12.0
Bost,Mike,,,Mike Bost,1960-12-30,M,rep,IL,Republican,12.0
Graves,Garret,,,Garret Graves,1972-01-31,M,rep,LA,Republican,6.0
Moulton,Seth,,,Seth Moulton,1978-10-24,M,rep,MA,Democrat,6.0
Moolenaar,John,R.,,John R. Moolenaar,1961-05-08,M,rep,MI,Republican,4.0
Dingell,Debbie,,,Debbie Dingell,1953-11-23,F,rep,MI,Democrat,12.0
Lawrence,Brenda,L.,,Brenda L. Lawrence,1954-10-18,F,rep,MI,Democrat,14.0
Emmer,Tom,,,Tom Emmer,1961-03-03,M,rep,MN,Republican,6.0
Rouzer,David,,,David Rouzer,1972-02-16,M,rep,NC,Republican,7.0
Watson Coleman,Bonnie,,,Bonnie Watson Coleman,1945-02-06,F,rep,NJ,Democrat,12.0
Zeldin,Lee,M.,,Lee M. Zeldin,1980-01-30,M,rep,NY,Republican,1.0
Rice,Kathleen,M.,,Kathleen M. Rice,1965-02-15,F,rep,NY,Democrat,4.0
Stefanik,Elise,M.,,Elise M. Stefanik,1984-07-02,F,rep,NY,Republican,21.0
Katko,John,,,John Katko,1962-11-09,M,rep,NY,Republican,24.0
Boyle,Brendan,F.,,Brendan F. Boyle,1977-02-06,M,rep,PA,Democrat,2.0
Babin,Brian,,,Brian Babin,1948-03-23,M,rep,TX,Republican,36.0
Beyer,Donald,S.,Jr.,"Donald S. Beyer, Jr.",1950-06-20,M,rep,VA,Democrat,8.0
Plaskett,Stacey,E.,,Stacey E. Plaskett,1966-05-13,F,rep,VI,Democrat,0.0
Newhouse,Dan,,,Dan Newhouse,1955-07-10,M,rep,WA,Republican,4.0
Grothman,Glenn,,,Glenn Grothman,1955-07-03,M,rep,WI,Republican,6.0
Mooney,Alexander,X.,,Alexander Mooney,1971-06-05,M,rep,WV,Republican,2.0
Radewagen,Aumua Amata,Coleman,,Aumua Amata Coleman Radewagen,1947-12-29,F,rep,AS,Republican,0.0
Sullivan,Dan,,,Dan Sullivan,1964-11-13,M,sen,AK,Republican,
Ernst,Joni,,,Joni Ernst,1970-07-01,F,sen,IA,Republican,
Tillis,Thom,,,Thom Tillis,1960-08-30,M,sen,NC,Republican,
