transaction_date,ticker,asset_description,type,amount,name,disclosure_date,chamber,first_name,last_name,party,birthday,gender,represents
2022-02-07,ECOM,"ChannelAdvisor Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.50 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-07,ECOM,"ChannelAdvisor Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.50 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-07,ECOM,"ChannelAdvisor Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.50 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-07,ECOM,"ChannelAdvisor Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.50 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-07,PYPL,"PayPal Holdings, Inc. -",purchase,100000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-01,F,"Ford Motor Company <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_full,50000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-01,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-01,MSFT,"Microsoft Corporation - <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $265.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,50000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-01,MRO,"Marathon Oil Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-01,MRO,"Marathon Oil Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-01,CLF,"Cleveland-Cliffs Inc. <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_full,50000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-18,PHLD,PHLD - Phillips Edison Grocery Center REIT I,sale_full,50000,Patrick J Toomey,2022-03-04,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
2022-01-20,PHLD,PHLD - Phillips Edison Grocery Center REIT I,sale_partial,50000,Patrick J Toomey,2022-03-04,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
2022-01-31,ROAD,"Construction Partners, Inc. -",sale_full,250000,Mark R Warner,2022-02-18,senate,Mark,Warner,Democrat,1954-12-15,M,VA
2022-01-21,UL,Unilever PLC,sale_full,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,WEX,WEX Inc. common stock,sale_full,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,VFC,V.F. Corporation,sale_full,15000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,OTIS,Otis Worldwide Corporation,sale_full,15000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,HSIC,"Henry Schein, Inc. -",sale_full,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,CARR,Carrier Global Corporation,sale_full,15000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,MMM,3M Company,sale_full,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-21,HSY,The Hershey Company,purchase,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,NVDA,NVIDIA Corporation -,purchase,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
2022-01-06,LIN,Linde plc Ordinary Share,purchase,50000,Susan M Collins,2022-02-17,senate,Susan,Collins,Republican,1952-12-07,F,ME
